total_feed,total_harvest_weight,initial_age,fasting_avg,harvest_population,pond_length,total_seed_type,volume_ponds,pond_depth,total_live_shrimp,total_seed,pond_width,death_abw,target_cultivation_day,FCR,area,death_quantity
1322.0,1179.0,0.0,1.0,1179.0,51.64,0,2000.0172,1.0,100000.0,100000,38.73,0.0,120.0,1.121289228159457,2000.0,0.0
2144.35,1497.0,0.0,1.0,1497.0,25.0,1,750.0,1.2,119968.20833333331,120000,25.0,82.71916666666665,117.0,1.4324315297261188,491.0,31.791666666666668
7302.0,5623.28,0.0,0.5507155923572717,5623.28,51.64,0,3200.02752,1.6,347100.0,347100,38.73,0.0,95.0,1.2985303950719154,2000.0,0.0
9497.0,7579.97,0.0,0.5507155923572717,7579.97,57.74,0,4000.2272,1.6,499500.0,499500,43.3,0.0,95.0,1.2529073334063328,2500.0,0.0
5934.0,4545.71,0.0,0.5507155923572717,4545.71,57.74,0,4000.2272,1.6,444600.0,444600,43.3,0.0,95.0,1.3054066361470484,2500.0,0.0
1234.0,1234.0,0.0,1.0,1234.0,21.6,0,559.8720000000001,1.6,63000.0,63000,16.2,0.0,95.0,1.0,350.0,0.0
6667.0,5272.48,0.0,0.5507155923572717,5272.48,57.74,0,4000.2272,1.6,450000.0,450000,43.3,0.0,95.0,1.2644903347191456,2500.0,0.0
6536.0,4641.39,0.0,0.5507155923572717,4641.39,57.74,0,4000.2272,1.6,500000.0,500000,43.3,0.0,95.0,1.4081988369863336,2500.0,0.0
3126.0,4135.76,0.0,0.5507155923572717,4135.76,51.64,0,3200.02752,1.6,348664.6,360000,38.73,6.981999999999999,120.0,0.7558465674990812,2000.0,11335.4
973.0,482.98,0.0,0.5507155923572717,482.98,21.6,0,559.8720000000001,1.6,72000.0,72000,16.2,0.0,95.0,2.014576172926415,350.0,0.0
15585.0,11521.86,0.0,0.5507155923572717,11521.86,75.37,0,6815.859840000001,1.6,892244.0,892244,56.52,0.0,95.0,1.3526461873343365,4260.0,0.0
12337.0,9161.29,0.0,0.5507155923572717,9161.29,70.05,0,5888.6832,1.6,693575.0,693575,52.54,0.0,95.0,1.3466444136142397,3680.0,0.0
11764.0,9041.36,0.0,0.5507155923572717,9041.36,67.43,0,5455.89616,1.6,634210.0,634210,50.57,0.0,95.0,1.3011316881531096,3410.0,0.0
14284.0,10063.0,0.0,0.5507155923572717,10063.0,75.54,0,6848.154240000001,1.6,793531.0,793531,56.66,0.0,95.0,1.4194574182649309,4280.0,0.0
4681.0,3287.01,0.0,0.5507155923572717,3287.01,45.31,0,2464.1390400000005,1.6,293340.0,293340,33.99,0.0,95.0,1.424090586885954,1540.0,0.0
13973.0,10356.59,0.0,0.3090909090909091,10356.59,69.67,0,5824.412,1.6,746897.0,746897,52.25,0.0,95.0,1.349189260171543,3640.0,0.0
8954.0,7059.74,0.0,1.0,7059.74,59.78,0,4287.89984,1.6,554580.0,554580,44.83,0.0,95.0,1.268318663293549,2680.0,0.0
6892.0,5875.57,0.0,1.0,5875.57,58.88,0,4160.225280000001,1.6,484631.0,484631,44.16,0.0,95.0,1.1729925777413936,2600.0,0.0
3828.0,2690.79,0.0,0.25,2690.79,39.5,0,1871.984,1.6,228969.0,228969,29.62,0.0,95.0,1.4226305285808256,1170.0,0.0
5756.0,4505.16,0.0,0.5507155923572717,4505.16,48.72,0,2848.36608,1.6,339385.0,339385,36.54,0.0,95.0,1.2776460769428832,1780.0,0.0
1819.0,117.11,0.0,1.0,117.11,26.52,0,843.97248,1.6,96866.0,96866,19.89,0.0,95.0,15.532405430791565,1000.0,0.0
1132.0,805.81,0.0,1.0,805.81,19.37,0,450.31376,1.6,68068.0,68068,14.53,0.0,95.0,1.404797657015922,1000.0,0.0
1374.6,939.0,0.0,0.5507155923572717,939.0,22.51,1,608.0401200000001,1.2,64961.333333333336,65000,22.51,28.05666666666667,115.0,1.4638977635782746,380.0,38.66666666666666
619.0,390.0,0.0,1.0,390.0,31.09,2,725.0188,1.0,250000.0,250000,23.32,0.0,120.0,1.587179487179487,725.0,0.0
1170.7,886.3,0.0,0.5507155923572717,886.3,33.72,2,852.7787999999999,1.0,100796.33333333331,100800,25.29,6.321666666666666,120.0,1.320884576328557,853.0,3.6666666666666665
1210.0,811.45,0.0,1.0,811.45,37.67,1,1170.59525,1.1,82551.57142857143,84000,28.25,7.121428571428571,120.0,1.491157803931234,1064.0,1448.428571428571
1343.0,3060.4,0.0,0.25,3060.4,37.3,1,1189.87,1.1,82530.0,84000,29.0,14.3,120.0,0.4388315252908116,1082.0,1470.0
3677.0,3271.01,0.0,1.0,3271.01,36.2,1,1847.648,1.1,133000.0,133000,46.4,0.0,120.0,1.1241176272772018,1680.0,0.0
2406.0,1942.03,0.0,0.0952380952380952,1942.03,49.14,1,1629.7281000000005,0.9,130657.0,133000,36.85,17.24,120.0,1.2389098005695074,1811.0,2343.0
10299.0,7169.5,0.0,0.5507155923572717,7169.5,81.65,2,800039.36,160.0,702720.0,702720,61.24,0.0,81.0,1.4365018481065626,5000.0,0.0
7663.0,5656.45,0.0,0.5507155923572717,5656.45,68.31,0,4724.353755,1.35,574000.0,574000,51.23,0.0,75.0,1.354736628097128,3500.0,0.0
5182.5,3560.2,0.0,0.5507155923572717,3560.2,40.0,1,240000.0,150.0,130000.0,130000,40.0,0.0,125.0,1.4556766473793608,1600.0,0.0
5531.996,3561.9,0.0,0.5507155923572717,3561.9,40.0,1,2400.0,1.5,130000.0,130000,40.0,0.0,125.0,1.55310255762374,1600.0,0.0
5574.0,3661.56,0.0,0.5507155923572717,3661.56,40.0,1,240000.0,150.0,130000.0,130000,40.0,0.0,125.0,1.5223019696522797,1600.0,0.0
5327.0,3611.7,0.0,0.5507155923572717,3611.7,40.0,1,240000.0,150.0,130000.0,130000,40.0,0.0,125.0,1.4749287039344352,1600.0,0.0
5729.77,3620.7,0.0,0.5507155923572717,3620.7,40.0,1,240000.0,150.0,130000.0,130000,40.0,0.0,120.0,1.5825033833236668,1600.0,0.0
5500.0,3429.8,0.0,0.5507155923572717,3429.8,40.0,1,240000.0,150.0,130000.0,130000,40.0,0.0,120.0,1.6035920461834507,1600.0,0.0
5255.5,847.0,0.0,0.5507155923572717,847.0,60.0,2,3384.0,1.2,206800.0,206800,47.0,0.0,150.0,6.204840613931523,2820.0,0.0
1784.5,1378.55,0.0,1.0,1378.55,45.81,1,1731.43476,1.1,113869.83333333331,114000,34.36,15.589999999999998,120.0,1.2944760799390664,1574.0,130.16666666666666
527.0,195.35,0.0,0.6470588235294118,195.35,47.1,1,1348.002,0.9,113509.5625,114000,31.8,4.78,120.0,2.697722037368825,1574.0,490.4375
592.0,356.85,0.0,1.0,356.85,46.5,1,1667.4900000000002,1.1,113529.86666666668,114000,32.6,38.641333333333336,120.0,1.6589603474849377,1574.0,470.1333333333333
657.5,308.5,0.0,1.0,308.5,48.5,1,1760.5500000000002,1.1,111198.45454545454,114000,33.0,4.612727272727273,120.0,2.1312803889789302,1574.0,2801.5454545454545
3835.5,2242.79,0.0,1.0,2242.79,50.0,1,2590.0,1.4,420000.0,420000,37.0,0.0,120.0,1.7101467368768364,1850.0,0.0
3620.0,1352.95,0.0,1.0,1352.95,50.0,1,2280.0,1.2,450000.0,450000,38.0,0.0,120.0,2.6756347241213643,1900.0,0.0
3641.0,961.0,0.0,0.5507155923572717,961.0,50.0,1,2600.0,1.3,447000.0,447000,40.0,0.0,120.0,3.7887617065556713,2000.0,0.0
2407.6,1574.8,0.0,1.0,1574.8,50.0,1,1740.0,1.2,320000.0,320000,29.0,0.0,120.0,1.5288290576581154,1450.0,0.0
1015.75,372.4,0.0,0.5507155923572717,372.4,40.0,1,832.0,1.3,127000.0,127000,16.0,0.0,120.0,2.727577873254565,640.0,0.0
9539.0,4940.41,1.0,1.0,4940.41,40.0,2,2730.0,1.3,424586.28125,426600,52.5,16.1325,135.0,1.9308114103890164,2100.0,2013.71875
4094.8,2539.94,1.0,1.0,2539.94,40.0,2,2496.0,1.3,400310.3333333333,408825,48.0,8.565,135.0,1.6121640668677213,1920.0,8514.666666666666
3014.35,1806.4,1.0,0.5507155923572717,1806.4,40.0,2,2626.0,1.3,406410.8,408825,50.5,5.599600000000001,135.0,1.668705713020372,2020.0,2414.2
5170.8,3149.15,1.0,0.1875,3149.15,37.01,2,1781.14326,1.3,274876.0,284400,37.02,13.446666666666667,135.0,1.641966879951733,1370.0,9524.0
1572.6,1202.35,0.0,0.5507155923572717,1202.35,25.56,0,489.9852,1.0,59984.0,60000,19.17,5.03,120.0,1.3079386202021042,490.0,16.0
370.1,175.0,1.0,0.5507155923572717,175.0,50.0,1,300000.0,120.0,49600.0,50000,50.0,5.0,100.0,2.1148571428571428,2500.0,400.0
6279.0,3600.0,0.0,1.0,3600.0,60.0,1,3000.0,1.0,500000.0,500000,50.0,0.0,120.0,1.7441666666666666,3000.0,0.0
2878.5,2428.0,0.0,0.5507155923572717,2428.0,40.0,2,2580.0,1.2,437782.6,445625,53.75,5.5920000000000005,135.0,1.1855436573311366,2150.0,7842.4
2990.0,2750.0,0.0,0.1428571428571428,2750.0,40.0,2,2700.0,1.2,463428.6842105263,465000,56.25,4.384736842105263,135.0,1.0872727272727272,2250.0,1571.3157894736842
7349.8,5723.39,0.0,0.5507155923572717,5723.39,30.0,2,1885.26,1.3,302250.0,302250,48.34,0.0,135.0,1.2841689977443438,1450.0,0.0
1679.5,1836.0,0.0,1.0,1836.0,33.5,0,884.4,1.2,109304.5,109620,22.0,13.707142857142856,105.0,0.914760348583878,737.0,315.5
2036.0,1285.0,0.0,1.0,1285.0,32.0,0,1228.8,1.2,144651.05555555556,144900,32.0,10.718333333333334,105.0,1.5844357976653696,1024.0,248.94444444444449
3100.0,2250.35,0.0,0.2857142857142857,2250.35,49.5,0,2257.2,1.2,269858.3333333333,270900,38.0,10.9525,105.0,1.3775634901237586,1881.0,1041.6666666666667
3572.5,2430.0,0.0,0.8,2430.0,48.0,0,2188.8,1.2,261876.0,262080,38.0,13.18,105.0,1.470164609053498,1824.0,204.0
2909.0,2208.65,0.0,1.0,2208.65,47.5,0,1995.0,1.2,245115.0,245115,35.0,0.0,105.0,1.317094152536617,1662.0,0.0
1040.5,242.45,0.0,0.078125,242.45,36.51,2,1000.0089,1.0,75836.33333333333,75900,27.39,12.82,120.0,4.291606516807589,1000.0,63.66666666666666
451.156,320.0,0.0,1.0,320.0,16.0,0,307.2,1.2,49600.5,50000,16.0,6.005,99.0,1.4098625,256.0,399.5
413.978,296.0,0.0,0.5507155923572717,296.0,16.0,0,307.2,1.2,49468.5,50000,16.0,6.06,99.0,1.3985743243243245,256.0,531.5
261.946,100.0,0.0,0.5507155923572717,100.0,16.0,0,307.2,1.2,47300.0,50000,16.0,5.56,99.0,2.61946,256.0,2700.0
136.736,2.56,0.0,1.0,2.56,3.5,1,6.3,0.9,1206.0,1272,2.0,11.54,110.0,53.4125,7.0,66.0
3225.2,2811.29,0.0,1.0,2811.29,40.0,1,1800.0,1.5,194000.0,194000,30.0,0.0,150.0,1.1472313421952198,1200.0,0.0
2347.2,1565.85,0.0,1.0,1565.85,40.0,1,1800.0,1.5,194000.0,194000,30.0,0.0,150.0,1.498994156528403,1200.0,0.0
2682.2,2361.7200000000003,0.0,1.0,2361.7200000000003,40.0,1,1800.0,1.5,194000.0,194000,30.0,0.0,150.0,1.1356977118371354,1200.0,0.0
3949.2,3345.89,0.0,1.0,3345.89,40.0,1,2100.0,1.5,212000.0,212000,35.0,0.0,150.0,1.1803137580733378,1400.0,0.0
2568.1,1698.8,0.0,0.0,1698.8,29.89,0,1072.09452,1.2,85000.0,85000,29.89,0.0,115.0,1.5117141511655283,670.0,0.0
778.0,400.5,0.0,0.5507155923572717,400.5,29.89,0,1072.09452,1.2,70000.0,70000,29.89,0.0,100.0,1.9425717852684143,670.0,0.0
1807.0,581.6,0.0,0.8,581.6,46.19,2,2400.0324,1.5,300000.0,300000,34.64,0.0,100.0,3.106946354883081,1500.0,0.0
1570.0,822.5,0.0,1.0,822.5,44.72,2,2999.8176,1.5,300000.0,300000,44.72,0.0,100.0,1.9088145896656532,1500.0,0.0
1924.0,1048.42,0.0,0.5,1048.42,44.78,2,3007.8726,1.5,300000.0,300000,44.78,0.0,100.0,1.8351424047614504,1504.0,0.0
4795.0,2398.7,1.0,0.0714285714285714,2398.7,44.72,2,2999.8176,1.5,250000.0,250000,44.72,0.0,100.0,1.998999458039772,1500.0,0.0
1933.04,783.0,1.0,0.0930232558139534,783.0,51.64,2,2000.0172,1.0,113340.0,113400,38.73,5.0,100.0,2.468761174968072,2000.0,60.0
901.0,372.38,0.0,1.0,372.38,40.0,0,1680.0,1.4,150000.0,150000,30.0,0.0,100.0,2.4195714055534667,1200.0,0.0
1383.0,980.31,0.0,1.0,980.31,41.63,0,1819.56404,1.4,150000.0,150000,31.22,0.0,100.0,1.4107782232151054,1300.0,0.0
1040.0,501.25,0.0,0.5,501.25,41.63,0,1819.56404,1.4,150000.0,150000,31.22,0.0,100.0,2.0748129675810474,1300.0,0.0
661.5,345.49,0.0,1.0,345.49,38.3,0,1539.9663999999998,1.4,150000.0,150000,28.72,0.0,100.0,1.9146719152508032,1100.0,0.0
769.0,373.97,0.0,1.0,373.97,40.0,0,1680.0,1.4,150000.0,150000,30.0,0.0,100.0,2.05631467764794,1200.0,0.0
1134.0,51.04,0.0,0.0,51.04,43.2,0,1959.552,1.4,180000.0,180000,32.4,0.0,100.0,22.217868338557995,1400.0,0.0
556.0,305.84000000000003,0.0,1.0,305.84000000000003,55.62,1,2783.89224,1.2,193531.96,194122,41.71,4.8104,100.0,1.817944023018572,1000.0,590.04
600.5,282.16,0.0,1.0,282.16,54.14,1,2637.7008,1.2,178586.75,179588,40.6,3.91625,100.0,2.1282251204990077,1000.0,1001.25
1452.5,1237.44,0.0,0.75,1237.44,55.55,1,2777.0556,1.2,193915.45454545456,194122,41.66,4.504545454545454,100.0,1.173794284975433,1000.0,206.54545454545453
1265.5,744.1800000000001,0.0,1.0,744.1800000000001,32.0,1,150000.0,150.0,284285.0625,286720,31.25,2.8284375,100.0,1.7005294418017145,1000.0,2434.9375
763.0,202.84,0.0,1.0,202.84,54.25,1,2648.268,1.2,182454.5,184676,40.68,4.871666666666667,100.0,3.7615854860974167,1000.0,2221.5
452.5,161.26,0.0,1.0,161.26,55.41,1,2763.40752,1.2,185921.0833333333,187340,41.56,5.456666666666667,100.0,2.806027533176237,1000.0,1418.9166666666667
797.5,483.31,0.0,1.0,483.31,54.95,1,2718.0468,1.2,189139.25,190068,41.22,6.876,100.0,1.6500796590180216,1000.0,928.75
819.5,268.2,0.0,1.0,268.2,55.52,1,2774.22336,1.2,184744.625,187340,41.64,4.5183333333333335,100.0,3.055555555555556,1000.0,2595.375
672.0,218.84,0.0,0.8333333333333334,218.84,55.29,1,2751.45156,1.2,191501.625,192764,41.47,4.488125,100.0,3.070736611222811,1000.0,1262.375
397.0,104.1,0.0,1.0,104.1,54.81,1,2703.8869200000004,1.2,175509.125,183464,41.11,3.76625,100.0,3.8136407300672426,1000.0,7954.875
1238.0,1236.25,0.0,0.1333333333333333,1236.25,55.36,1,2758.25664,1.2,190745.0,191416,41.52,4.495,100.0,1.0014155712841253,2319.0,671.0
626.5,209.36,0.0,1.0,209.36,54.55,1,2677.9685999999992,1.2,179685.7894736842,182172,40.91,4.877894736842105,100.0,2.992453190676347,2319.0,2486.2105263157896
810.5,388.56,0.0,1.0,388.56,55.85,1,2806.7976,1.2,192055.84615384616,194122,41.88,4.823846153846154,100.0,2.085906938439366,2319.0,2066.153846153846
1003.0,746.59,0.0,1.0,746.59,54.59,1,2681.89752,1.2,182984.73684210525,183464,40.94,4.520526315789474,100.0,1.3434415140840354,2319.0,479.2631578947368
2670.55,1262.84,0.0,0.0,1262.84,54.26,1,3311.7591,1.5,188665.6,191425,40.69,12.498,110.0,2.114717620601185,1000.0,2759.4
3280.65,1595.38,0.0,0.075,1595.38,55.04,1,3408.0768,1.5,177172.92307692306,178178,41.28,14.522307692307692,111.0,2.0563439431358046,1000.0,1005.0769230769232
1417.7,1169.37,0.0,0.3333333333333333,1169.37,55.56,1,3472.7778000000008,1.5,196729.0,197470,41.67,12.1,110.0,1.2123622121313185,1000.0,741.0
464.35,258.48999999999995,0.0,0.25,258.48999999999995,55.92,1,3517.9272,1.5,178178.0,178178,41.94,0.0,110.0,1.7963944446593685,1000.0,0.0
2087.4,1109.33,0.0,0.3684210526315789,1109.33,56.63,1,3607.61415,1.5,213373.5,213590,42.47,14.7325,110.0,1.8816763271524253,1000.0,216.5
4410.225,2958.54,0.0,0.0,2958.54,53.69,1,3243.14445,1.5,177924.5,178178,40.27,22.805,110.0,1.4906761443144254,1000.0,253.5
1697.5,747.9,0.0,0.1739130434782608,747.9,55.71,1,3492.18135,1.5,196987.4,197470,41.79,11.206,110.0,2.269688461024201,1000.0,482.6
1911.2,997.58,0.0,0.3333333333333333,997.58,56.24,1,3558.3048,1.5,177736.66666666666,178178,42.18,10.64,110.0,1.9158363239038472,1000.0,441.3333333333333
2229.45,1656.51,0.0,0.2222222222222222,1656.51,56.28,1,3563.3682000000003,1.5,197257.0,197470,42.21,14.08,110.0,1.3458717423981743,1000.0,213.0
1813.8,733.64,0.0,0.9285714285714286,733.64,56.28,0,3563.3682000000003,1.5,198182.5,198768,42.21,19.075,110.0,2.4723297530123767,1000.0,585.5
521.25,269.36,0.0,0.0571428571428571,269.36,45.52,0,2331.0792,1.5,134908.75,137020,34.14,6.1775,105.0,1.93514256014256,1554.0,2111.25
281.41,116.0,0.0,0.5507155923572717,116.0,16.0,2,320.0,1.0,14983.857142857143,15000,20.0,14.78857142857143,100.0,2.425948275862069,200.0,16.142857142857142
534.51,300.0,0.0,0.75,300.0,36.51,2,1400.01246,1.4,128850.0,130000,27.39,4.006666666666667,150.0,1.7817,1000.0,1150.0
5954.9,980.5,0.0,1.0,980.5,45.0,0,1705.5,1.0,170000.0,170000,37.9,0.0,100.0,6.073329933707292,1710.0,0.0
1283.75,800.0,0.0,1.0,800.0,34.5,0,1000.5,1.0,80000.0,80000,29.0,0.0,120.0,1.6046875,900.0,0.0
2852.0,770.0,0.0,0.3333333333333333,770.0,34.64,0,899.9472000000001,1.0,149460.08333333334,150000,25.98,8.175833333333333,120.0,3.703896103896104,900.0,539.9166666666666
3790.95,1230.0,0.0,0.0,1230.0,30.0,0,900.0,1.0,149865.0,150000,30.0,11.88,120.0,3.0820731707317077,900.0,135.0
1370.47,1010.0,0.0,0.3076923076923077,1010.0,40.0,2,1600.0,2.0,99639.0,100000,20.0,8.31,100.0,1.35690099009901,800.0,361.0
1139.1,427.3,0.0,0.5507155923572717,427.3,35.0,0,1470.0,1.2,150080.33333333334,151000,35.0,5.412333333333334,100.0,2.6658085654107184,1225.0,919.6666666666666
2254.7,830.0,0.0,1.0,830.0,30.0,0,1218.0,1.4,148943.27272727274,150000,29.0,8.601212121212122,100.0,2.716506024096385,870.0,1056.7272727272727
2946.0,932.0,0.0,1.0,932.0,44.72,0,1499.9088,1.0,199382.3333333333,200000,33.54,8.116666666666665,100.0,3.160944206008584,1500.0,617.6666666666666
1259.7,518.72,0.0,1.0,518.72,34.64,2,2039.88032,1.7,139909.0,140000,34.64,10.99,100.0,2.4284777914867366,1200.0,91.0
3402.4,1635.49,1.0,1.0,1635.49,30.0,0,1485.0,1.65,124992.33333333331,125000,30.0,17.400000000000002,120.0,2.08035512292952,900.0,7.666666666666667
3864.3,1996.6,0.0,0.5,1996.6,40.0,0,1000.0,1.0,199233.3333333333,200000,25.0,8.7,150.0,1.935440248422318,1000.0,766.6666666666666
3479.6,2254.78,0.0,0.04,2254.78,40.0,0,1800.0,1.5,150000.0,150000,30.0,0.0,100.0,1.5432104240768498,900.0,0.0
3722.2,1606.35,0.0,0.0344827586206896,1606.35,30.0,0,900.0,1.0,149917.45454545456,150000,30.0,7.920909090909091,100.0,2.3171786970460984,1600.0,82.54545454545455
1415.0,647.3,0.0,1.0,647.3,40.0,0,2400.0,1.5,191958.0,200000,40.0,4.835714285714286,100.0,2.1860033987332,2400.0,8042.0
3743.3,2250.0,0.0,1.0,2250.0,30.0,0,1500.0,1.0,150000.0,150000,50.0,0.0,101.0,1.663688888888889,1000.0,0.0
652.72,340.0,0.0,0.6666666666666666,340.0,25.0,0,1125.0,1.5,74693.25,75000,30.0,3.7125,100.0,1.919764705882353,1500.0,306.75
3522.9,2014.0,0.0,0.5507155923572717,2014.0,30.0,0,1440.0,1.2,149937.5294117647,150000,40.0,12.66470588235294,101.0,1.7492055610724926,960.0,62.47058823529412
4045.2,2604.98,0.0,0.0576923076923076,2604.98,30.0,0,900.0,1.0,129989.33333333331,130000,30.0,16.531666666666666,110.0,1.5528718070772136,900.0,10.666666666666666
522.708,1140.0,1.0,1.0,1140.0,100.0,1,1750.0,0.7,85000.0,85000,25.0,0.0,90.0,0.4585157894736842,2500.0,0.0
